DUID,Owner,Number of Units,Nameplate Capacity (MW)
,FIrm Power P/L,1.0,168
ADPPV3,South Australian Water Corporation,1.0,0.02
ADPMH1,South Australian Water Corporation,1.0,1
ADPPV2,South Australian Water Corporation,5.0,13.75
ADPBA1,South Australian Water Corporation,1.0,7.76
ADPPV1,South Australian Water Corporation,4.0,11
,Synergy Wind Pty Ltd,34.0,122.4
,Acciona Energy Australia Global,1.0,200.00 - 400.00
ALDGASF1,Acciona Energy Australia Global Pty Ltd,157.0,387.01
,Ausnet Transmission Group Pty Ltd,1.0,100
ANGAST1,Snowy Hydro Ltd,1.0,15.4
ANGAST1,Snowy Hydro Ltd,1.0,30.8
APPIN,EDL CSM NSW Pty Ltd,54.0,55.62
, ACENergy Pty Ltd ,1.0,120
,ACEN Australia Pty Ltd,1.0,200
,Aramara Solar Pty Ltd,1.0,101.4
ARWF1,Ararat Wind Farm Pty Ltd,75.0,240
,Ardandra SF Pty Ltd as trustee for Ardandra SF Trust,28.0,96.99
,Ardandra SF Pty Ltd as trustee for Ardandra SF Trust,22.0,75.02
,RES Australia Pty Ltd,85.0,612
,Argyle Solar Farm Pty Ltd,1.0,59.8
,VALENT ENERGY DEVELOPMENTS PTY LTD,1.0,150
,Eku Energy Projects (Australia) Trust,1.0,300
,Augusta BESS Pty Ltd,1.0,270
,SiliconAurora,1.0,140
,Gree,1.0,200
AVLSF1,Iberdrola Australia Limited,70.0,254.1
,firmpower_NR,1.0,67.2
,UPC Renewables Australia,1.0,50
,UPC Renewables Australia,1.0,140
BDL01,Alinta DEBO,1.0,47
BDL02,Alinta DEBO,1.0,47
,Bison Energy,1.0,65
, Solar Projects Australia Pty Ltd,1.0,400
,MMT Projects T/A Renewable Projects Management,1.0,300
, Solar Projects Australia Pty Ltd,1.0,250
,MMT Projects T/A Renewable Projects Management,1.0,300
BAKING1,Chinchilla Solar Pty Ltd,1.0,14.7
BALDHWF1,Bald Hills Wind Farm Pty Ltd,52.0,106.6
,Baldon Wind Farm Pty Ltd,45.0,360
,Baldon Wind Farm Pty Ltd,130.0,1040
,Baldon Wind Farm Pty Ltd,125.0,500
BBASEHOS,Ballarat Health Services,2.0,1.6
